PSR,Edot,Bstar,P,Ecl,Lgamma,Ea,Ecb,E10,Gammas,E0,d,b
J2043+1711,1.2e+34,1.3e+8,2.4,3.95,6.6e+33,1.87,1.36,16.90,1.80,1.22,0.413,0.667
J2043+2740,5.6e+34,4.7e+11,96.1,1.42,2.4e+33,0.83,0.29,5.13,2.06,0.89,0.927,0.667
J2047+1053*,1.1e+34,4.1e+8,4.3,6.27,4.0e+33,2.75,2.72,29.50,1.83,1.77,0.333,0.667
J2051−0827,5.2e+33,3.2e+8,4.5,1.84,6.5e+32,2.33,0.43,10.70,1.65,1.76,1.130,0.667
J2055+2539,4.9e+33,1.5e+12,319.6,1.53,2.4e+33,1.21,0.30,6.61,2.06,1.28,1.110,0.654
J2115+5448,1.7e+35,6.0e+8,2.6,2.46,8.1e+33,3.06,0.67,15.10,1.73,2.42,1.050,0.667
J2124−3358,2.4e+33,2.6e+8,4.9,2.02,7.8e+32,1.95,0.50,10.30,1.49,1.12,0.766,0.667
J2208+4056,8.1e+32,2.5e+12,637.0,0.62,3.2e+32,0.32,0.09,1.73,2.97,0.65,1.720,0.667
J2214+3000,1.7e+34,2.7e+8,3.1,2.22,1.4e+33,1.76,0.57,10.50,1.62,1.09,0.681,0.667
J2215+5135,7.4e+34,4.0e+8,2.6,4.87,1.7e+34,1.45,1.87,18.20,1.94,1.22,0.334,0.667
J2229+6114,2.3e+37,2.7e+12,51.6,5.12,2.6e+35,0.76,0.01,16.70,2.31,1.67,0.436,0.308
J2234+0944,4.1e+33,1.8e+8,3.6,3.35,3.0e+33,1.87,1.07,14.70,1.80,1.33,0.516,0.667
J2238+5903,8.9e+35,5.4e+12,162.7,3.72,6.4e+34,0.67,1.25,10.70,2.26,1.35,0.469,0.667
J2240+5832,2.2e+35,2.0e+12,139.9,4.13,6.2e+34,1.14,1.46,14.30,2.24,1.94,0.537,0.667
J2241−5236,1.9e+34,1.4e+8,2.2,2.28,2.8e+33,1.90,0.60,11.10,1.98,1.86,0.945,0.667
J2256−1024,3.4e+34,2.1e+8,2.3,3.27,4.2e+33,1.41,1.03,12.70,1.84,1.02,0.443,0.667
J2302+4442,3.8e+33,3.6e+8,5.2,3.03,3.5e+33,2.48,2.08,14.40,1.85,2.05,0.718,0.853
J2310−0555,1.1e+34,1.5e+8,2.6,2.09,1.6e+33,1.74,0.52,9.95,1.65,1.16,0.753,0.667
J2317+1439,2.2e+33,1.2e+8,3.4,0.55,2.1e+32,1.58,0.03,3.52,1.18,1.37,5.450,0.667
J2339−0533,2.2e+34,2.6e+8,2.9,4.02,4.2e+33,2.40,1.40,19.10,1.61,1.09,0.377,0.667
